Periode,Data
1,4610
2,4669
3,4508
4,4439
5,4459
6,4428
7,4360
8,4335
9,4331
10,4412
11,4457
12,4389
13,4377
14,4296
15,4247
16,4268
17,4200
18,4228
19,4111
20,4171
21,4246
22,4119
23,4161
24,4333
25,4318
26,4183
27,4216
28,4260
29,4259
30,4234
31,4288
32,4220
33,4154
34,4553
35,4564
36,4411
37,4379
38,4408
39,4413
40,4326
41,4375
42,4282
43,4279
44,4214
45,4088
46,4034
47,3974
48,4040
49,3946
50,4029
51,4045
52,4090
53,4172
54,3994
55,4263
56,4180
57,4278
58,4214
59,4091
60,4117
61,4051
62,4087
63,3947
64,3884
65,3909
66,3766
67,3757
68,3757
69,3726
70,3758
71,3785
72,3799
73,3744
74,3742
75,3714
76,3657
77,3619
78,3623
79,3726
80,3610
81,3692
82,3641
83,3571
84,3404
85,3327
86,3300
87,3118
88,3102
89,2952
90,2973
91,3155
92,3184
93,3359
94,3235
95,3308
96,3343
97,3133
98,3012
99,3184
100,3129
101,3180
102,3102
103,3078
104,3107
105,3107
106,3061
107,3162
108,3055
109,3197
110,3314
111,3256
112,3273
113,3251
114,3180
115,3076
116,3149
117,3246
118,3093
119,3114
120,2985
121,2986
122,2932
123,2902
124,2954
125,2899
126,2929
127,2914
128,2909
129,2956
130,2981
131,2965
132,2990
133,2899
134,2905
135,2856
136,2838
137,2821
138,2779
139,2756
140,2782
141,2817
142,2771
143,2719
144,2737
145,2661
146,2614
147,2613
148,2611
149,2646
150,2581
151,2581
