periode;suhu
1;24.37
2;25.4
3;25.31
4;25.62
5;25.73
6;24.68
7;24.43
8;24.66
9;24.94
10;24.56
11;24.73
12;23.78
13;23.45
14;23.9
15;24.07
16;24.58
17;24.8
18;24.65
19;24.27
20;24.29
21;25.42
22;25.89
23;25.55
24;25.33
25;24.37
26;24.88
27;24.43
28;24.92
29;25.21
30;24.65
31;24.15
32;24.72
33;26.27
34;26.49
35;25.99
36;25.28
37;24.03
38;24.55
39;25.27
40;25.08
41;25
42;24.65
43;24.18
44;24.46
45;25.71
46;25.98
47;25.44
48;24.82
49;23.66
50;23.87
51;24.9
52;25.06
53;25.55
54;25.01
55;24.58
56;24.64
57;24.92
58;26.19
59;26.02
60;24.89
61;24.07
62;24.15
63;24.44
64;24.8
65;24.92
66;24.51
67;24.13
68;24.62
69;26
70;27.98
71;27.15
72;25.77
73;25.96
74;25.25
75;25.8
76;25.65
77;25.6
78;25.08
79;24.95
80;25.12
81;25.35
82;24.75
83;24.92
84;24.51
85;24.32
86;24.2
87;24.69
88;25
89;25.5
90;24.62
91;24.68
92;24.7
93;25.86
94;25.98
95;25.59
96;24.65
97;24.28
98;24.26
99;24.94
100;25.33
101;25.29
102;25.02
103;24.05
104;24.73
105;25.86
106;27.23
107;25.94
108;25.44
109;24.87
110;25.43
111;25
112;25.79
113;25.57
114;24.63
115;24.08
116;24.45
117;26.03
118;27.99
119;27.4
120;26.54
121;25.59
122;25.12
123;25.26
124;25.48
125;25.48
126;25.07
127;24.75
128;25.3
129;25.66
130;25.58
131;25.55
132;24.48
133;24.16
134;24.17
135;24.74
136;24.93
137;25.36
138;24.87
139;24.3
140;25
141;25.71
142;26.21
143;25.15
144;24.9
